0, 2614, 501, 1712, 528, 7766, 3905, 10840, 8512, 4327, 11554, 4153, 11885, 765, 3001, 4780, 10138, 4389, 10198, 7740,
8587, 0, 9418, 6122, 5618, 5571, 9783, 10697, 10855, 1856, 4471, 8570, 11570, 6963, 8056, 6920, 5378, 8196, 5823, 5005,
3351, 1192, 0, 7324, 6818, 1820, 3955, 10507, 2026, 9751, 4331, 2450, 342, 10820, 1485, 2612, 10782, 6674, 2840, 6988,
7474, 1124, 4358, 0, 7502, 6191, 11914, 2751, 858, 6816, 10876, 610, 3708, 10054, 9904, 3438, 5943, 8285, 5360, 590,
7396, 1613, 11645, 9452, 0, 5626, 6319, 412, 6008, 3717, 11998, 7178, 3993, 1946, 7173, 7327, 4202, 7883, 8305, 7462,
11904, 8202, 7734, 7328, 8333, 0, 6349, 8938, 10314, 7218, 1393, 11519, 5229, 4883, 5144, 6599, 3870, 9754, 11613, 3623,
3211, 3787, 2316, 7337, 2443, 5296, 0, 2711, 7695, 10479, 7683, 7422, 6398, 578, 3054, 1313, 10967, 7915, 4696, 11220,
11027, 9073, 2290, 9097, 6029, 8539, 6891, 0, 11458, 6052, 4935, 4072, 8311, 3934, 8327, 10935, 7749, 10919, 5027, 7340,
3382, 8604, 11503, 3871, 7726, 9835, 9036, 2147, 0, 1438, 5525, 3332, 7876, 1438, 7869, 8198, 1400, 2886, 1195, 7512,
7048, 6526, 3014, 4821, 5932, 4408, 4797, 4762, 880, 0, 10829, 5497, 9933, 9846, 5824, 9855, 9860, 2760, 4433, 7078,
4581, 7850, 8259, 5678, 2361, 8375, 9985, 11675, 10880, 5559, 0, 3556, 4100, 4073, 10547, 3004, 4984, 3097, 10233, 5446,
10677, 1647, 1704, 3609, 5154, 4585, 7956, 11867, 10937, 8877, 2119, 0, 2268, 667, 5194, 3341, 3047, 9294, 4731, 2221,
9408, 11747, 5183, 8830, 8657, 11924, 2436, 6263, 3082, 1835, 2079, 3724, 0, 4007, 645, 2447, 8545, 11803, 5844, 11426,
3583, 1685, 634, 8125, 8184, 6408, 4598, 6623, 8640, 3133, 4990, 1433, 8127, 0, 5271, 3577, 2190, 2671, 8934, 2782,
2191, 1233, 11523, 9821, 9043, 11911, 2198, 10229, 4416, 2165, 3381, 7762, 4179, 1294, 0, 11646, 10050, 5096, 9278, 4868,
10562, 11368, 8459, 4345, 968, 7907, 7893, 10457, 6052, 3748, 3141, 10071, 1661, 5384, 1752, 0, 4770, 3382, 2406, 696,
11093, 6539, 623, 4710, 11156, 2826, 8618, 4425, 4792, 740, 3159, 11957, 7955, 530, 11476, 7009, 0, 1230, 8220, 8544,
4616, 9577, 7885, 3264, 5161, 5428, 2300, 4190, 1946, 8032, 9604, 1307, 8146, 5729, 1601, 3645, 2058, 0, 1351, 9747,
10497, 4170, 11191, 809, 4633, 5933, 4606, 8566, 10879, 2081, 11681, 1741, 5434, 8182, 3922, 2510, 3457, 6288, 0, 661,
7008, 4229, 1510, 4303, 5919, 2512, 8406, 5825, 858, 9141, 5569, 6334, 11776, 1951, 5756, 5918, 6442, 2029, 3270, 0,
